Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гоголь,Сніжана,Іванівна,Жінка,1946-12-03,Кінокритик,Корсунь-Шевченківський,"сквер Вєтрова, буд. 86 кв. 5, Авдіївка, 73791",+380 (15) 238-96-20,lmasokha@example.com
Дашенко,Марія,Сергіївна,Жінка,1996-11-16,Юрист,Балаклія,"площа Транспортна, буд. 5 кв. 5, Бровари, 81966",+380 (66) 637-89-83,lutsenkoorkhyp@example.net
Щербань,Ярина,Сергіївна,Жінка,1998-05-09,Перекладач,Мар'їнка,"провулок Локомотивний 2-й, буд. 5 кв. 768, Гола Пристань, 57596",003-95-37,mykolaiandriichuk@example.com
Ірванець,Альбіна,Миколаївна,Жінка,1989-11-02,Музикознавець,Білгород-Дністровський,"шосе Пугачова, буд. 437 кв. 393, Рубіжне, 70012",+380 (73) 216-19-56,neporozhniizakhar@example.com
Михайлюк,Аніта,Петрівна,Жінка,1974-03-21,Режисер,Першотравенськ,"вулиця Новомосковська дорога, буд. 75 кв. 589, Південне , 65828",+380 29 082-93-12,korolenkooleksandr@example.net
Перебийніс,Пріска,Петрівна,Жінка,1941-02-15,Археолог,Броди,"сквер Висока, буд. 7 кв. 97, Острог, 46799",+380 00 926 54 70,vira33@example.net
Шаповал,Марія,Миколаївна,Жінка,1968-02-11,Геолог,Сулимівка (Слов'янськ),"площа Ангарська, буд. 90 кв. 99, Южноукраїнськ, 81148",+380 (35) 589-35-07,zarudnaoksana@example.org
Засуха,Клавдія,Володимирівна,Жінка,1995-10-26,Штукатур,Кропивницький,"шосе Кавунова, буд. 7 кв. 2, Бахмач, 02190",+380 50 646 50 16,herman26@example.net
Єсипенко,Орина,Андріївна,Жінка,1968-06-26,Бібліотекар,Лозова ,"набережна Балтський 3-й, буд. 218 кв. 66, Бобринець, 78336",+380 45 945 91 62,babiichukkhoma@example.net
Фурс,Розалія,Миколаївна,Жінка,1963-11-02,Зоолог,Куп'янськ,"площа Трамвайний, буд. 6, Новий Буг, 94174",858 74 72,slavrenko@example.net
Редько,Орина,Петрівна,Жінка,1951-03-25,Ветеринар,Сімферополь,"проспект Лінія 35-та, буд. 8 кв. 77, Торецьк, 10275",013 054 40 16,trokhymrubets@example.org
Чалий,Тетяна,Іванівна,Жінка,1992-10-16,Хореограф,Костопіль,"вулиця Ф. Пішеніна, буд. 722, Коростень, 56530",+380 18 484 97 88,xhutsuliak@example.com
Ващук,Юстина,Миколаївна,Жінка,1956-10-15,Сантехнік,Новгород-Сіверський,"набережна Левадна, буд. 93, Помічна, 93838",+380 85 608 15 54,wpalii@example.org
Оробець,Галина,Володимирівна,Жінка,2007-09-06,Реставратор,Дрогобич,"вулиця Академіка Ясиновського, буд. 2 кв. 279, Білозерське, 75472",856 56 16,artem38@example.org
Доценко,Дарина,Петрівна,Жінка,1993-10-26,Складальник,Українськ,"вулиця Лінія 41-ша, буд. 0 кв. 872, Трускавець, 78270",+380 78 518-15-35,viurchyshyn@example.net
Дубас,Лілія,Сергіївна,Жінка,1955-09-02,Акушер,Зіньків,"шосе Троїцька, буд. 83, Мерефа, 54576",+380 02 770-82-31,oleh34@example.com
Бабиченко,Соломія,Іванівна,Жінка,1985-05-05,Геолог,Трускавець,"сквер Лінія 39-та, буд. 878 кв. 78, Бунге , 19429",+380 73 975 95 04,davymukaviktor@example.net
Свириденко,Ольга,Сергіївна,Жінка,1966-09-02,Сценарист,Нікополь,"набережна Дерибасівська, буд. 3, Андрушівка, 67596",+380 (18) 461-38-23,basaula@example.com
Цушко,Олена,Володимирівна,Жінка,2006-06-28,Архітектор,Бар,"площа Платанова, буд. 712 кв. 8, Олександрівськ, 10678",389 46 17,rkarmaliuk@example.net
Романець,Маруся,Сергіївна,Жінка,1944-11-25,Мінералог,Лебедин,"узвіз 40-річчя оборони Одеси, буд. 58 кв. 17, Сорокине, 29882",+380 23 292 19 09,cierchenko@example.com
Лубенець,Вікторія,Володимирівна,Жінка,1980-01-31,Сантехнік,Берегове,"проспект Грузовий, буд. 34, Петрово-Красносілля, 87502",328 53 72,ivan34@example.com
Ващук,Софія,Петрівна,Жінка,1963-08-04,Державний службовець,Жовті Води,"шосе Офіцерський 2-й, буд. 56 кв. 850, Ялта, 13329",+380 76 959-74-89,iovcharenko@example.com
Чумак,Пріска,Сергіївна,Жінка,1966-04-03,Актор,Енергодар,"парк Магістральна, буд. 40 кв. 6, Херсон, 76276",087 436 00 73,veniiamyneibozhenko@example.org
Притула,Ганна,Володимирівна,Жінка,1957-11-21,Журналіст,Кам'янець-Подільський,"парк 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 114 кв. 3, Березівка, 73224",063 941 88 01,anzhelaaverchenko@example.com
Заєць,Марія,Іванівна,Жінка,1991-05-26,Складальник,Суми,"шосе Сабанський, буд. 16 кв. 1, Світловодськ, 92731",+380 41 572-05-53,avrelii92@example.com
Александренко,Еріка,Олексіївна,Жінка,1960-03-18,Соціолог,Христинівка,"площа 2-га Лінія Марії Демченко, буд. 9 кв. 71, Слов'янськ, 25509",092-99-58,bzinkevych@example.org
Харченко,Альбіна,Сергіївна,Жінка,1997-02-05,Конструктор,Іллінці,"шосе Яші Гордієнка, буд. 1 кв. 2, Вижниця, 84935",071 619 87 83,wbalaban@example.com
Вакуленко,Вікторія,Олексіївна,Жінка,1981-04-18,Фізик,Алушта,"парк Степний 2-й, буд. 45 кв. 418, Герца, 76076",037 909-50-80,makar21@example.com
Семенченко,Маруся,Іванівна,Жінка,1945-06-12,Акушер,Монастириська,"вулиця Чапаєва, буд. 03, Костопіль, 44853",+380 (74) 965-90-93,okseniiaonufriienko@example.com
Цимбал,Тетяна,Андріївна,Жінка,1994-05-25,Водій,Овруч,"вулиця Братів Поджіо, буд. 4 кв. 33, Бершадь, 49760",056 839 02 53,erika89@example.net
Дубенко,Ліза,Сергіївна,Жінка,1972-07-24,Льотчик,Горохів,"шосе Ляпунова, буд. 1, Почаїв, 20384",+380 89 139-60-45,mdashkevych@example.net
Приймак,Ярина,Сергіївна,Жінка,1958-11-06,Скульптор,Калинівка ,"провулок Флотський 4-й, буд. 73 кв. 6, Білицьке, 53131",+380 15 621-15-92,anzhelastets@example.com
Іваничук,Аліна,Петрівна,Жінка,1947-07-04,Скульптор,Козятин,"площа Гвардійська, буд. 467, Перевальськ, 57940",+380 84 015-89-26,fursfrants@example.net
Абрагамовський,Маруся,Сергіївна,Жінка,2007-07-10,Геофізик,Кам'янське,"шосе Деревообробний 5-й, буд. 843, Яворів, 32596",022 324-32-77,cstelmakh@example.net
Салій,Альбіна,Іванівна,Жінка,1976-02-02,Мірошник,Заліщики,"парк Верещагіна, буд. 31 кв. 914, Тетіїв, 29148",+380 63 257 56 46,bohdanna43@example.com
Симоненко,Ярослава,Андріївна,Жінка,1957-09-16,Кіноактор,Миргород,"набережна Софії Перовської, буд. 332, Вараш, 97474",006 29 06,lubenetsvadym@example.net
Мазепа,Емілія,Іванівна,Жінка,1977-09-25,Бібліотекар,Зимогір'я,"парк Павла Кравцова, буд. 72 кв. 919, Добромиль, 37028",646-60-32,verkholakostiantyn@example.com
Демʼянюк,Єлисавета,Андріївна,Жінка,1941-07-08,Письменник,Ужгород,"площа ПшеничнаРадищева, буд. 035 кв. 420, Південне , 80450",+380 (39) 912-83-17,aleksiukiarema@example.net
Засядько,Святослава,Іванівна,Жінка,1966-02-04,Сценарист,Рені,"сквер Генуезька, буд. 933, Болехів, 47888",+380 22 335 05 87,riabchenkonadiia@example.com
Ткаченко,Анжела,Олексіївна,Жінка,1945-03-27,Водій,Чорноморськ,"набережна Мельницька, буд. 828, Гуляйполе, 47473",024 304 64 11,bohdan58@example.com
Шеремета,Валентина,Володимирівна,Жінка,2004-02-10,Хімік,Міусинськ,"проспект Костанді 2-й, буд. 077 кв. 6, Верхньодніпровськ, 26444",+380 (43) 313-12-04,lukashbohdan@example.org
Титаренко,Маруся,Іванівна,Жінка,1982-06-16,Скульптор,Глиняни,"узвіз Тінистий, буд. 57 кв. 8, Городище , 29118",+380 22 879-77-39,arsenzarudnyi@example.net
Іващенко,Ліза,Миколаївна,Жінка,1961-05-01,Пекар,Прип'ять ,"вулиця Матюшенка, буд. 298 кв. 28, Гуляйполе, 09443",+380 47 264-58-33,vitaliivasylechko@example.com
Худяк,Клавдія,Миколаївна,Жінка,1959-01-14,Кінорежисер,Корюківка,"вулиця Новгородський, буд. 86, Прилуки, 04780",+380 22 134 32 12,havryliukkostiantyn@example.net
Опанасенко,Ірена,Миколаївна,Жінка,1951-05-27,Шериф,Каховка,"сквер Ярморочна площа, буд. 812 кв. 515, Конотоп, 11446",043 54 51,anzhela69@example.net
Єрмоленко,Марина,Андріївна,Жінка,2007-12-27,Детектив,Мена ,"шосе Петра Лещенка, буд. 29 кв. 254, Хмельницький, 75508",441 22 43,semen70@example.com
Сиротенко,Пріска,Володимирівна,Жінка,1993-07-29,Намотувальник,Ржищів,"проспект Олександра Кутузакія, буд. 8, Семенівка, 36950",+380 21 215-19-20,maksym31@example.com
Гавриш,Віра,Андріївна,Жінка,1989-03-20,Менеджер,Зміїв,"сквер Різницький, буд. 618, Бердянськ, 64465",+380 73 991 82 26,bohdanna18@example.net
Дашкевич,Аніта,Сергіївна,Жінка,1966-06-14,Антрополог,Часів Яр,"набережна Уманська, буд. 41 кв. 2, Подільськ, 27477",046 252-52-14,sviatoslava63@example.net
Ващенко-Захарченко,Варвара,Олексіївна,Жінка,1963-09-13,Філолог,Зоринськ,"вулиця Восьмого березня 8-й, буд. 776, Тернопіль, 08526",625 71 55,javramchuk@example.org
Приймак,Тереза,Петрівна,Жінка,1983-10-12,Кінокритик,Хмільник,"сквер Рощева, буд. 0 кв. 12, Ялта, 04032",+380 51 627-86-29,ielysei04@example.org
Литвиненко,Софія,Олексіївна,Жінка,1996-11-11,Антрополог,Нова Каховка,"вулиця Бабеля, буд. 84 кв. 818, Ромни, 99111",025 144 98 53,davydarkhymovych@example.com
Забарна,Михайлина,Сергіївна,Жінка,1955-05-27,Кінолог,Світловодськ,"шосе Скляна, буд. 4 кв. 894, Заводське, 73208",137 75 89,svitlana77@example.com
Пушкар,Софія,Сергіївна,Жінка,1983-11-17,Гицель,Ізяслав,"парк Житомирський 3-й, буд. 936, Новоазовськ, 35931",489-32-47,omelian86@example.net
Якименко,Олена,Володимирівна,Жінка,1974-03-31,Стропальник,Знам'янка,"набережна Поштовий, буд. 9, Сновськ, 17793",012 820-03-64,skorykkyrylo@example.net
Голобородько,Олена,Миколаївна,Жінка,1964-03-30,Дизайнер,Ізмаїл,"провулок Амундсена, 1-й, буд. 44, Білицьке, 59168",055 088 86 14,leonidmishchenko@example.net
Кальченко,Вікторія,Олексіївна,Жінка,1974-05-25,Ґрунтознавець,Петрово-Красносілля,"сквер Топольського, буд. 47, Берестечко, 77964",005 471-15-33,orysia34@example.com
Швайка,Розалія,Сергіївна,Жінка,1999-10-29,Піаніст,Перевальськ,"сквер Макарова, буд. 5 кв. 881, Ямпіль, 85828",+380 (21) 368-93-10,rskoryk@example.org
Таран,Аліна,Володимирівна,Жінка,2002-03-29,Парфюмер,Охтирка,"провулок Басейний 2-й, буд. 3 кв. 31, Яворів, 74633",093 275 27 63,orest89@example.com
Гуцуляк,Людмила,Андріївна,Жінка,1980-07-03,Письменник,Синельникове,"провулок Бахчева, буд. 5, Херсон, 44039",+380 (16) 457-50-46,pylyp06@example.net
Алексюк,Святослава,Миколаївна,Жінка,1953-04-06,Кінолог,Голубівка,"провулок Віцеадмірала Жукова, буд. 9, Ківерці, 30179",+380 97 472-13-78,volodymyrshelest@example.com
Журавель,Софія,Андріївна,Жінка,1971-11-16,Адвокат,Татарбунари,"набережна 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 11, Лохвиця, 15561",+380 44 056-61-37,dhavrylyshyn@example.net
Гаврюшенко,Володимира,Петрівна,Жінка,1981-02-12,М'ясник,Покров,"провулок Калинова, буд. 7, Середина-Буда, 81906",+380 89 204-25-86,okseniia33@example.org
Чуприна,Ірина,Андріївна,Жінка,1997-10-20,Промисловець,Благовіщенське,"узвіз Макова, буд. 9 кв. 82, Святогірськ, 83320",+380 (38) 743-57-57,kbaidak@example.net
Онуфрієнко,Тетяна,Володимирівна,Жінка,2004-09-16,Перекладач,Біла Церква,"парк Естонська, буд. 64 кв. 3, Вугледар, 90203",048 253 61 05,iurchenkoirena@example.net
Царенко,Валентина,Сергіївна,Жінка,1976-01-07,Кухар,Часів Яр,"вулиця Болгарська, буд. 2, Івано-Франківськ, 92812",141 60 79,bohdanna29@example.net
Бебешко,Альбіна,Іванівна,Жінка,1983-08-06,Хімік,Роздільна,"проспект Університетський, буд. 5, Запоріжжя, 92595",+380 54 002 73 23,shvachkatymofii@example.com
Цимбал,Розалія,Володимирівна,Жінка,2001-02-09,Архітектор,Старобільськ,"проспект Дежньова, буд. 15, Українськ, 68328",+380 15 532 91 94,oryna48@example.net
Атаманюк,Єлисавета,Миколаївна,Жінка,1988-02-28,Актор,Боково-Хрустальне,"набережна Курська, буд. 07 кв. 8, Коростень, 85685",+380 54 112-88-59,kamillakyrylenko@example.net
Перепелиця,Клавдія,Олексіївна,Жінка,2005-07-05,Фізик,Сватове,"парк Тінистий, буд. 46 кв. 6, Дружківка, 65609",290 03 54,liubov14@example.com
Усик,Надія,Сергіївна,Жінка,1944-04-08,Стропальник,Лисичанськ,"проспект Лейтенанта Шмідта, буд. 8 кв. 747, Зеленодольськ, 22662",+380 80 338-78-00,ivan69@example.com
Абрагамовський,Амалія,Володимирівна,Жінка,1941-04-01,Каскадер,Бобровиця,"шосе Лінія 53-тя, буд. 141 кв. 0, Алмазна, 02322",+380 21 246-96-74,mmasokha@example.com
Бабійчук,Дарина,Сергіївна,Жінка,1955-05-29,Науковець,Каховка,"парк Серединський, буд. 0, Прилуки, 26225",+380 09 474-79-51,tereza81@example.com
Удовенко,Одарка,Іванівна,Жінка,1980-07-21,Петрограф,Брянка,"проспект Леваневського, буд. 782 кв. 45, Куп'янськ, 94659",+380 (84) 555-98-30,maksym72@example.net
Василевич,Розалія,Миколаївна,Жінка,1974-03-28,Патологоанатом,Берислав,"проспект Балтський 6-й, буд. 7, Мена , 33430",076 731 10 73,ivan29@example.net
Шведченко,Вікторія,Миколаївна,Жінка,1964-11-25,Паблік рилейшнз,Переяслав,"площа Локомотивний 3-й, буд. 0, Снігурівка, 75034",+380 (33) 756-25-11,irynaiakymchuk@example.com
Атаманчук,Дарина,Андріївна,Жінка,1966-08-25,Петрограф,Чортків,"парк Красна, буд. 3, Узин, 17234",090 414-44-85,maksym40@example.org
Притула,Володимира,Андріївна,Жінка,1982-03-22,Археолог,Старокостянтинів,"проспект Кільовий, буд. 46, Щастя , 18062",+380 04 397 56 36,drozdruslan@example.org
Архипенко,Соломія,Олексіївна,Жінка,1944-11-05,Візажист,Теребовля,"площа Єнісейська, буд. 775 кв. 826, Подільськ, 41476",+380 30 122-55-89,sviatoslavhunko@example.net
Парасюк,Ада,Андріївна,Жінка,2004-08-10,Гірничий інженер,Соснівка ,"парк Текстильників, буд. 648 кв. 33, Батурин, 88797",+380 97 964 02 02,edubas@example.org
Дуплій,Лілія,Іванівна,Жінка,1963-12-05,Композитор,Васильків,"провулок Новоукраїнський, буд. 7 кв. 3, Білопілля, 98115",955 38 21,iaremamiroshnychenko@example.com
Дубас,Розалія,Андріївна,Жінка,1968-02-02,Складальник,Горохів,"парк Компасний, буд. 0 кв. 9, Болград, 90019",+380 (74) 330-77-69,kvernydub@example.org
Цісик,Ярина,Андріївна,Жінка,1956-01-20,Адвокат,Васильків,"парк Катерининська, буд. 0, Добропілля, 20259",583 66 15,matviienkozorian@example.com
Примаченко,Орися,Сергіївна,Жінка,1953-04-18,Бібліотекар,Барвінкове,"вулиця Липнева, буд. 6, Дубляни, 35647",712-94-69,karaskamilla@example.net
Саєнко,Одарка,Сергіївна,Жінка,1938-12-12,Антрополог,Вовчанськ,"парк Отрадна, буд. 40, Решетилівка, 15082",+380 45 483-69-69,stepan98@example.net
Черінько,Богуслава,Олексіївна,Жінка,1990-09-30,Мірошник,Львів,"проспект Слобідський узвіз, буд. 81 кв. 36, Переяслав, 87121",+380 40 370-32-55,btymchuk@example.net
Деряжний,Ліза,Миколаївна,Жінка,1957-10-20,Бібліотекар,Оріхів,"шосе Багрицького, буд. 832 кв. 112, Тальне, 25611",+380 (90) 684-74-82,iaroslav73@example.net
Височан,Дарина,Миколаївна,Жінка,2004-12-15,Живописець,Ізмаїл,"сквер Газовий, буд. 72 кв. 40, Петрово-Красносілля, 41342",+380 (80) 650-93-68,mumanets@example.net
Цушко,Оксана,Іванівна,Жінка,2004-01-10,Різноробочий,Славута,"провулок Іванова 2-й, буд. 404, Торецьк, 79758",+380 (70) 238-16-94,alahoda@example.org
Романчук,Мілена,Андріївна,Жінка,1983-08-02,Швачка,Гола Пристань,"площа Селекційна, буд. 7, Яготин, 56124",043 811 44 73,oberemkoorysia@example.net
Лаба,Володимира,Володимирівна,Жінка,1952-09-28,Антрополог,Новий Калинів,"проспект Ковалевського, буд. 2, Пустомити, 60481",+380 80 319 19 22,komarihnat@example.org
Дараган,Ярослава,Сергіївна,Жінка,1990-11-24,Зоолог,Монастирище,"парк Артезіанська, буд. 18 кв. 163, Підгайці, 59768",+380 (81) 348-53-73,zderhach@example.com
Цюцюра,Варвара,Олексіївна,Жінка,1991-06-30,Фрілансер,Красноперекопськ,"набережна Економічний, буд. 2 кв. 30, Сокаль, 57807",088 546-98-44,zlutsenko@example.net
Єрьоменко,Наталія,Олексіївна,Жінка,1975-07-25,Музичний редактор,Запоріжжя,"парк Естафетна, буд. 4, Підгайці, 41962",635 20 13,mazepastepan@example.net
Корбут,Едита,Андріївна,Жінка,1992-11-20,Письменник,Сквира,"проспект Скляна, буд. 518 кв. 536, Іллінці, 03321",+380 (40) 043-40-04,yiashchuk@example.net
Рубець,Ліза,Володимирівна,Жінка,1981-05-30,Стоматолог,Авдіївка,"узвіз Степова, буд. 47, Гребінка, 96633",+380 71 302 00 97,vadym37@example.org
Заруба,Василина,Сергіївна,Жінка,1946-02-15,Музичний редактор,Буринь,"парк Ліверпульський, буд. 0 кв. 7, Севастополь, 71432",082 464 27 69,iriabovil@example.org
Цісик,Ольга,Володимирівна,Жінка,1981-12-08,Складальник,Батурин,"проспект Луцька, буд. 7 кв. 227, Бахчисарай, 77592",+380 64 459-43-47,oberemkolukian@example.com
Базилевич,Ірена,Олексіївна,Жінка,1976-08-01,Маркетолог,Київ,"сквер Деревообробна, буд. 2 кв. 4, Ворожба, 70722",+380 62 987-13-42,avhustyn29@example.net
Шевченко,Орися,Олексіївна,Жінка,1950-02-20,Бухгалтер,Попасна,"шосе Східний 2-й, буд. 34 кв. 102, Пологи , 35606",+380 73 273 84 59,iaroslavhaidai@example.net
Уманець,Світлана,Олексіївна,Жінка,1964-08-14,Шериф,Костопіль,"узвіз Чорноморська, буд. 4, Дубляни, 42022",+380 73 579-32-38,mokhrymovych@example.com
Матяш,Мілена,Сергіївна,Жінка,1976-10-12,Реставратор,Сватове,"провулок Чернівецький, буд. 072, Шепетівка, 59595",553 08 97,kolesnychenkooryna@example.org
Самойленко,Альбіна,Володимирівна,Жінка,1945-08-24,Архітектор,Тиврів,"набережна Восьмого Березня Лінія 4-та, буд. 639, Помічна, 22434",+380 39 073 50 50,iefymenkoheorhii@example.net
Семенченко,Соломія,Андріївна,Жінка,1951-06-27,Реабілітолог,Курахове,"набережна Канатна, буд. 71 кв. 2, Долина , 05402",+380 75 992-89-17,havryletsopanas@example.org
Артюшенко,Христина,Володимирівна,Жінка,1997-08-25,Художник,Ялта,"провулок Скидановський узвіз, буд. 6 кв. 99, Корсунь-Шевченківський, 89584",800-96-19,petro14@example.com
Алексеєнко,Ліза,Володимирівна,Жінка,1962-01-12,Актор,Гадяч,"парк Кордонна, буд. 8, Лубни, 98141",+380 31 036 89 82,vhuk@example.org
Бабʼюк,Оксана,Андріївна,Жінка,1973-03-09,Зоолог,Бердичів,"набережна М’ясоєдовська, буд. 5 кв. 1, Біляївка, 25709",011 870-57-10,bazavluchenkofeofan@example.org
Шаблій,Вікторія,Миколаївна,Жінка,1974-09-29,Електрик,Бровари,"проспект Москеті, буд. 5, Красногорівка, 38302",497-95-96,korzhvalentyna@example.net
Шморгун,Камілла,Миколаївна,Жінка,1959-09-17,Громадський діяч,Авдіївка,"парк Середньофонтанський, буд. 5, Старобільськ, 04234",+380 (65) 092-62-38,shyloliliia@example.org
Верховинець,Ольга,Володимирівна,Жінка,1975-10-04,Шериф,Ананьїв,"проспект Прибережний, буд. 5 кв. 764, Торецьк, 26059",413-76-35,aakulenko@example.net
Чумаченко,Богданна,Сергіївна,Жінка,1966-02-27,Дантист,Любомль,"вулиця Магнітогорський, буд. 365 кв. 456, Щолкіне, 57315",+380 95 833-13-86,nataliiadanylenko@example.net
Нестайко,Алла,Олексіївна,Жінка,2001-06-30,Реабілітолог,Городище ,"площа Кришталевий, буд. 3, Корюківка, 89770",006 901 60 50,rrubets@example.com
Тимченко,Еріка,Володимирівна,Жінка,1980-09-18,Мінералог,Ямпіль,"проспект Квітковий, буд. 823, Горішні Плавні, 66520",+380 97 611-97-14,orkhyp94@example.net
Євтушенко,Оксана,Володимирівна,Жінка,1980-01-07,Машиніст,Новоселиця,"вулиця Бугаївська, буд. 7 кв. 8, Барвінкове, 81550",096 189 37 96,vsirko@example.net
Кабалюк,Клавдія,Сергіївна,Жінка,1957-09-23,Золотар,Новоселиця,"сквер Шампанський, буд. 773 кв. 499, Інкерман, 63745",855 75 75,dpelekh@example.net
Луценко,Орися,Володимирівна,Жінка,1988-10-01,Менеджер,Рені,"провулок Майстерний, буд. 089, Бахмут, 68709",+380 75 928 46 19,taranokhrim@example.com
Сіробаба,Ярина,Володимирівна,Жінка,1954-09-10,Модель,Скадовськ,"проспект Станційна 1-ша, буд. 056 кв. 951, Куп'янськ, 03202",+380 35 025-79-19,mazurleopold@example.org
Корж,Тетяна,Андріївна,Жінка,1995-07-13,Гірничий інженер,Броди,"площа Андрійця Олега, буд. 5 кв. 3, Тисмениця, 13796",+380 (48) 953-09-03,ievhensomko@example.com
Журба,Розалія,Миколаївна,Жінка,1953-03-13,Кінорежисер,Перевальськ,"парк Депутатський, буд. 438, Енергодар, 58374",+380 91 880-17-64,prokhir37@example.com
Сиротенко,Данна,Петрівна,Жінка,1969-08-05,Парфюмер,Глухів,"набережна 8-ма Лінія Дачі Ковалевського, буд. 612 кв. 9, Городок, 29583",653 94 01,demydzinchenko@example.com
Пилипенко,Марина,Володимирівна,Жінка,1994-09-23,Стиліст,Костянтинівка,"узвіз Маланова, буд. 51, Хотин, 61829",567 15 21,irvanetshanna@example.org
Валенко,Аліна,Андріївна,Жінка,1961-08-03,Слідчий,Кобеляки,"парк Новікова 2-га, буд. 0 кв. 393, Амвросіївка, 68535",653 09 12,amvrosii52@example.com
Оліфіренко,Ярослава,Петрівна,Жінка,1969-07-26,Піаніст,Миргород,"узвіз Кільцева, буд. 5, Новий Буг, 22231",+380 17 288 86 28,ielysei64@example.net
Бандурка,Єва,Петрівна,Жінка,1995-06-24,Мистецтвознавець,Городня,"площа Юхима Фесенка, буд. 341, Первомайськ, 77915",+380 51 697-24-13,sirobabahavrylo@example.net
Гаврюшенко,Одарка,Андріївна,Жінка,1984-08-20,Державний службовець,Чернівці,"провулок Південна дорога, буд. 668 кв. 457, Свалява, 61973",037-35-96,sdevdiuk@example.org
Абраменко,Наталія,Володимирівна,Жінка,1990-10-06,Живописець,Виноградів,"площа Соціальна, буд. 801 кв. 12, Донецьк, 49147",+380 68 171 85 07,tchupryna@example.org
Базилевич,Вікторія,Олексіївна,Жінка,1974-12-16,Фотограф,Бобринець,"шосе Проїзний 1-й, буд. 4 кв. 816, Біла Церква, 70100",+380 55 251-22-93,onysymhavrylyshyn@example.net
Акименко,Ліза,Іванівна,Жінка,2004-01-07,Золотар,Івано-Франківськ,"шосе Академіка Вільямса, буд. 4 кв. 3, Білозерське, 21009",+380 87 358-84-91,gokhrymovych@example.net
Дробаха,Анжела,Миколаївна,Жінка,1972-11-20,Правник,Сімферополь,"набережна Бузковий 1-й, буд. 785, Українка , 47466",+380 83 146 78 26,martapetryk@example.org
Оніщук,Марія,Іванівна,Жінка,1953-04-22,Візажист,Мар'їнка,"площа Буніна, буд. 5 кв. 5, Моршин, 85506",172 38 54,sviatoslavartymovych@example.org
Шутько,Сніжана,Володимирівна,Жінка,1966-10-22,Гінеколог,Покровськ,"сквер Дукова, буд. 763, Благовіщенське, 57854",+380 (40) 532-67-23,valentyna00@example.com
Демʼянчук,Розалія,Олексіївна,Жінка,1993-12-19,Клоун,Ржищів,"набережна 3-тя Лінія Марії Демченко, буд. 7 кв. 89, Монастириська, 70094",+380 (61) 151-62-27,tkomar@example.com
Годунок,Людмила,Петрівна,Жінка,1960-12-06,Парфюмер,Чоп,"шосе Лузанівка, буд. 415 кв. 46, Долинська, 86921",048 670-63-72,hlibdanyliuk@example.org
Хмара,Сніжана,Миколаївна,Жінка,1946-07-20,Промисловець,Верхівцеве,"проспект Восьмого березня 6-й, буд. 715 кв. 0, Червоносів, 92720",+380 (13) 576-85-07,ievahaidabura@example.com
Масоха,Ярослава,Володимирівна,Жінка,1978-09-28,Ботанік,Дружба ,"шосе Миколи Плигуна, буд. 6, Яремче, 40373",+380 17 445-57-76,alberthuzenko@example.org
Ґоляш,Юстина,Петрівна,Жінка,1978-09-04,Громадський діяч,Ковель,"сквер Танфільєва, буд. 6, Балаклія, 69150",+380 63 768-97-01,mykhailychenkokhrystyna@example.com
Яковенко,Валентина,Миколаївна,Жінка,2002-07-17,Водій,Підгородне,"узвіз Тіниста, буд. 52 кв. 043, Малин, 63063",+380 (30) 293-54-80,deinekamyron@example.org
Рудик,Орина,Іванівна,Жінка,1963-01-27,Кухар,Олександрія,"набережна Локомотивний 4-й, буд. 949 кв. 8, Городище , 84004",+380 (11) 392-88-94,nazar97@example.org
Ярема,Орися,Миколаївна,Жінка,1992-08-30,Математик,Приморськ (Україна),"площа Пішонівська, буд. 846, Городенка, 68374",+380 27 459-85-65,demianenkosemen@example.net
Байрак,Пріска,Олексіївна,Жінка,1967-08-02,Головний меркшейдер,Бахмач,"набережна Лінійна, буд. 8, Сватове, 86141",+380 20 082 48 60,taras17@example.net
Вишиваний,Марія,Сергіївна,Жінка,1983-03-12,Футболіст,Ковель,"площа Обільний 1-й, буд. 415, Носівка, 17790",+380 18 479-93-00,pavlo23@example.org
Фартушняк,Ярослава,Петрівна,Жінка,1986-12-14,Архітектор,Жовква,"проспект Успенська, буд. 51 кв. 7, Зміїв, 74428",+380 (95) 348-21-84,iaroslava32@example.com
Гузь,Лілія,Олексіївна,Жінка,1943-09-17,Мірошник,Енергодар,"узвіз Садовий, буд. 535, Богуслав, 92307",+380 43 887 95 78,klymenttsiutsiura@example.net
Усик,Любов,Володимирівна,Жінка,1966-02-01,Астроном,Київ,"узвіз Лиманчик 2-й Лінія 4-та, буд. 109, Горлівка, 29133",043 828 23 54,skopenkoavhustyn@example.net
Бевз,Орися,Миколаївна,Жінка,2001-07-10,Клавішник,Рені,"провулок Лютневий 1-й, буд. 60, Роздільна, 22724",677 48 58,kadeniukustym@example.com
Таран,Людмила,Миколаївна,Жінка,1996-12-03,Скульптор,Кременець,"площа Плієва, буд. 79 кв. 934, Коростишів, 19299",758-39-06,barabashsolomon@example.com
Пелех,Ярина,Миколаївна,Жінка,1955-03-18,Філолог,Білгород-Дністровський,"площа Амурська, буд. 6, Козятин, 64599",+380 (47) 917-68-49,xmatiash@example.org
